item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q100595898,Gintama: The Final,2021 film directed by Chizuru Miyawaki,Gintama the Movie: The Final,film del 2021 diretto da Chizuru Miyawaki,Films,entity
Q100606015,County Lines,2019 film by Henry Blake,County Lines,film del 2019 diretto da Henry Blake,Films,entity
Q100606436,Mist on the Sea,film directed by Hans Hinrich and Marcello Pagliero,Nebbie sul mare,film del 1944 diretto da Marcello Pagliero e Hans Hinrich,Films,entity
Q100699177,The Evil Next Door,2020 film directed by Oskar Mellander and Tord Danielsson,The Other Side,film del 2020 diretto da Oskar Mellander and Tord Danielsson,Films,entity
Q100701374,Don't Breathe 2,2021 film directed by Rodo Sayagues,L'uomo nel buio - Man in the Dark,film del 2021 diretto da Rodo Sayagues,Films,entity
Q100706108,Miraculous World: New York – United HeroeZ,animated film,Miraculous World: New York - Eroi Uniti,film d'animazione francese del 2020 diretto da Thomas Astruc,Films,entity
Q100716189,Beyto,2020 film by Gitta Gsell,Beyto,film del 2020,Films,entity
Q100719246,Gagarine,2020 film directed by Fanny Liatard and Jérémy Trouilh,Gagarine - Proteggi ciò che ami,film del 2020 diretto da Fanny Liatard e Jérémy Trouilh,Films,entity
Q100724914,Dual,2022 film directed by Riley Stearns,Dual - Il clone,film del 2022 diretto da Riley Stearns,Films,entity
Q100736066,Belfast,2021 film directed by Kenneth Branagh,Belfast,film del 2021 diretto da Kenneth Branagh,Films,entity
Q100742611,Once Upon a Snowman,2020 American musical fantasy short film,La storia di Olaf,cortometraggio d'animazione digitale del 2020 scritto e diretto da Dan Abraham e Trent Correy,Films,entity
Q100761458,Cadaver,2020 film by Jarand Herdal,Kadaver,Film del 2020 diretto da Jarand Herland,Films,entity
Q100774045,Under the Stars of Paris,2020 film directed by Claus Drexel,Sotto le stelle di Parigi,film del 2020 diretto da Claus Drexel,Films,entity
Q100801718,Don't Worry Darling,2022 film directed by Olivia Wilde,Don't Worry Darling,film del 2022 diretto da Olivia Wilde,Films,entity
