item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q1911687,PKNA,1996-2000 Italian Donald Duck superhero comic,PKNA - Paperinik New Adventures,Serie fumettistica italiana
http://www.wikidata.org/entity/Q378168,The Prisoner of White Agony Creek,chapter 8B of The Life and Times of Scrooge McDuck,La prigioniera del fosso dell'agonia bianca,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q162326,Elfquest,comic book series,Elfquest,fumetto
http://www.wikidata.org/entity/Q3828349,Hound of the Moaning Hills,1972 Junior Woodchucks comic book story by Carl Barks,Le GM - Il mastino delle colline mugolanti,Storia a fumetti
http://www.wikidata.org/entity/Q2027419,Tales from the Crypt,horror comic anthology series,Tales from the Crypt,rivista bimestrale statunitense a fumetti horror degli anni Cinquanta
http://www.wikidata.org/entity/Q47505269,Indian Agency,comic book album,Indian Agency,albo di Tex
http://www.wikidata.org/entity/Q3894727,Paperina di Rivondosa,parody of the Italian TV series Elisa di Rivombrosa,Paperina di Rivondosa,parodia della serie tv Elisa di Rivombrosa
http://www.wikidata.org/entity/Q3794341,Il grande splash,comic by Silvia Ziche,Il grande splash,storia a fumetti di Silvia Ziche
http://www.wikidata.org/entity/Q3576811,The Golden Fleecing,1955 Uncle Scrooge comic book story by Carl Barks,Zio Paperone e il vello d'oro,Fumetto di Carl Barks
http://www.wikidata.org/entity/Q137480,Piccolo Ranger,Italian comic book series,Piccolo Ranger,fumetto e personaggio dei fumetti
http://www.wikidata.org/entity/Q92791,Airtight Garage,1976 comic strip,Il Garage Ermetico,fumetto
http://www.wikidata.org/entity/Q7763702,The Sharpie of the Culebra Cut,chapter 10B of The Life and Times of Scrooge McDuck,L'astuto papero del varco di Culebra,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q111631438,"Goodbye, Eri",Manga by Tatsuki Fujimoto,"Goodbye, Eri",manga scritto e disegnato da Tatsuki Fujimoto
http://www.wikidata.org/entity/Q46689,Y: The Last Man,comic,Y - L'ultimo uomo,serie a fumetti statunitense
http://www.wikidata.org/entity/Q3232004,Hearts of the Yukon,chapter 8C of The Life and Times of Scrooge McDuck,Cuori nello Yukon,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q15665,Oxygène,French science fiction comics,Oxygène,fumetto francese di fantascienza
http://www.wikidata.org/entity/Q47505203,El Muerto,Tex comic album,El Muerto,albo di Tex
http://www.wikidata.org/entity/Q2299404,Torpedo,comic series,Torpedo,fumetto spagnolo
http://www.wikidata.org/entity/Q7964117,Walter,comic strip in the series McConey,Walter,fumetto franco-belga
http://www.wikidata.org/entity/Q3796253,The Vigilante of Pizen Bluff,chapter 6B of The Life and Times of Scrooge McDuck,Il vigilante di Pizen Bluff,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q95045,Mort Cinder,comic strip,Mort Cinder,personaggio dei fumetti
http://www.wikidata.org/entity/Q128277,Thorgal,comic book serie,Thorgal,serie di fumetti belga
http://www.wikidata.org/entity/Q25550,House of Mystery,horror comic book anthology series,House of Mystery,serie a fumetti della Vertigo
http://www.wikidata.org/entity/Q3515124,Tango,comic,Tango,albo della serie a fumetti Corto Maltese
http://www.wikidata.org/entity/Q2271659,Clara de noche,comic series,Chiara di notte,serie a fumetti
http://www.wikidata.org/entity/Q92557,Druuna,comic,Druuna,personaggio dei fumetti
http://www.wikidata.org/entity/Q3216950,Lancelot,"French comics series by Jean-Luc Istin, Olivier Peru, and Alexe",Lancelot,serie a fumetti
http://www.wikidata.org/entity/Q4024513,Nobody's Business,1987 Uncle Scrooge comic book story by Don Rosa,Zio Paperone - due nipoti nessun profitto,storia a fumetti del 1987 scritta e disegnata da Don Rosa
http://www.wikidata.org/entity/Q134442,Julia,Italian comic book series created by Giancarlo Berardi and edited by Sergio Bonelli Editore,''Julia - Le avventure di una criminologa'',serie a fumetti italiana
